Date, Fixed tickets
2013-05, 5
2013-06, 6
2013-07, 21
2013-08, 12
2013-09, 15
2013-10, 7
2013-11, 2
2013-12, 7
2014-01, 18
2014-02, 4
2014-03, 17
2014-04, 3
2014-05, 2
2014-06, 0
2014-07, 6
2014-08, 15
2014-09, 2
2014-10, 4
2014-11, 7
2014-12, 10
2015-01, 13
2015-02, 9
2015-03, 28
2015-04, 24
2015-05, 7
2015-06, 17
2015-07, 0
2015-08, 0
2015-09, 0
2015-10, 2
2015-11, 0
2015-12, 9
2016-01, 0
2016-02, 2
2016-03, 0
2016-04, 0
2016-05, 0
2016-06, 0
2016-07, 0
2016-08, 0
2016-09, 0
2016-10, 0
2016-11, 0
2016-12, 2
2017-01, 0
2017-02, 2
2017-03, 2
2017-04, 0
2017-05, 0
2017-06, 0
2017-07, 0
2017-08, 0
2017-09, 0
2017-10, 0
2017-11, 0
2017-12, 0
2018-01, 0
2018-02, 0
2018-03, 1
